check,status,observed,expected
input:full_transcript:exists,PASS,True,True
input:full_transcript:rows,PASS,142,142
input:full_transcript:sha256,PASS,ec3fcfe37b529fc9fe7c63cd767386fbb29d5312c29ff71504b8e61d61721d95,ec3fcfe37b529fc9fe7c63cd767386fbb29d5312c29ff71504b8e61d61721d95
input:full_transcript:official_test_excluded,PASS,"['dev', 'train']",train/dev only
input:interviewer_speech:exists,PASS,True,True
input:interviewer_speech:rows,PASS,142,142
input:interviewer_speech:sha256,PASS,c2626ea7ef46b6d84fc4fcdc07de6414b6e3be54a3bc7b950c91a6cfd53ce8b2,c2626ea7ef46b6d84fc4fcdc07de6414b6e3be54a3bc7b950c91a6cfd53ce8b2
input:interviewer_speech:official_test_excluded,PASS,"['dev', 'train']",train/dev only
input:non_explicit_interviewer_speech:exists,PASS,True,True
input:non_explicit_interviewer_speech:rows,PASS,142,142
input:non_explicit_interviewer_speech:sha256,PASS,6cda8cb83bdf16540a8bd0dc3480767a58aa7a3709996dbc18c7b86b99b70eb0,6cda8cb83bdf16540a8bd0dc3480767a58aa7a3709996dbc18c7b86b99b70eb0
input:non_explicit_interviewer_speech:official_test_excluded,PASS,"['dev', 'train']",train/dev only
input:participant_speech:exists,PASS,True,True
input:participant_speech:rows,PASS,142,142
input:participant_speech:sha256,PASS,12ad337fa97e0ce352be80ce46148e824eb625c4ffd4ca07591e59b9488f73a8,12ad337fa97e0ce352be80ce46148e824eb625c4ffd4ca07591e59b9488f73a8
input:participant_speech:official_test_excluded,PASS,"['dev', 'train']",train/dev only
input:participant_symptom_evidence:exists,PASS,True,True
input:participant_symptom_evidence:rows,PASS,142,142
input:participant_symptom_evidence:sha256,PASS,c02382b0699ce94cd1048b95bd8cdbd3502a54443a7ee5863a8fcbda4a037045,c02382b0699ce94cd1048b95bd8cdbd3502a54443a7ee5863a8fcbda4a037045
input:participant_symptom_evidence:official_test_excluded,PASS,"['dev', 'train']",train/dev only
c4:frozen_turn_source_hash,PASS,d2416dbdf981563df2213ca4101b8601964e469f0f744e8e4da001c4520c4229,d2416dbdf981563df2213ca4101b8601964e469f0f744e8e4da001c4520c4229
c4:frozen_turn_source_rows,PASS,34837,34837
c4:frozen_turn_source_participants,PASS,142,142
c4:verified_turn_upstream_hash,PASS,f4d8b0961917be2f2ac5533e6da06d65654ba634b728404898da5daaf80aff1b,f4d8b0961917be2f2ac5533e6da06d65654ba634b728404898da5daaf80aff1b
