relative_path,bytes,sha256
domain_count/input.csv,3629,1fad85d77a8329992553a420898f7b0c3908b90dbd777da4ebd77bc6e869c134
domain_presence/input.csv,3629,189060b7f33c56cfb3acbfaad9fb12a28415b837ab46b01d93ae4f0e3703da0b
keyword_masked/input.csv,143424,0ef1c48e389f372b1b8b0d162bbaf4707ad5476bb282441e634002c3797acc55
keyword_masked/mask_audit.csv,1985,e8cfc67f2b762d4d5575f7722f908708b5fd1c2c86fe5b03b18d1c9add9c5086
metrics/c5_control_metrics.csv,2161,a72d5b88b1377fce94c4ec7539935b063a54caa80be0de5c4b0bea548b633214
nonsymptom_same_word/input.csv,140531,6b6bacdee7160debc7beb0b4e7910777bb0b83904637a7cd20041bd3ce62455e
nonsymptom_same_word/quote_exclusion_audit.csv,6368,d41e1ffa28720ba6005d443262c4cec0a88e783de5439171b2cd7be9feee106b
oof_probs/c5_reviewed_evidence_fold_oof.csv,268974,d91b3d8a92c20fa2b62425b2802f1f94b9dbc7a58782f3b8a2f48650cb88ae29
oof_probs/c5_reviewed_evidence_participant_oof.csv,3928,af9869fb7216c66b1ab05f64bea844c7dccf21c30592dd201dae25b033b04385
oof_probs/domain_count_fold_oof.csv,257799,d986e7b46c58cb9a2f6d50a5ec32b573d566a77ea10a2e17c122d8f670a79f27
oof_probs/domain_count_participant_oof.csv,3941,9cc080d794659047de8173e7ba3ccede472bf83b9691708a40d1daa3f09e2f39
oof_probs/domain_presence_fold_oof.csv,262109,f2df9927dd6af1889ed2e84819e0d5de8fb2081b0de3c4be1dfce558d953c60b
oof_probs/domain_presence_participant_oof.csv,3944,126b9a678312d7519d52f8394a719ea1393792330beede9398623b4b8d3306c4
oof_probs/keyword_masked_fold_oof.csv,260471,a9b0252a1789bd3eb9ea0a1c116b4d6ed839174033ad926081612338570c2dbe
oof_probs/keyword_masked_participant_oof.csv,3928,b5da3ee1f70ce243b2a1be2dd0639b2f6f742f01e3a91130ce1c3d4e35d7f320
oof_probs/nonsymptom_same_word_fold_oof.csv,268996,5734860eb786ff9fc64d34784332615e716242fe7801262772634edcd16db191
oof_probs/nonsymptom_same_word_participant_oof.csv,3929,75518c72347d72a787224993929d5b3229a3e8a38e7b732aa973520e10ff355c
paired_tests/c5_control_family_fdr.csv,4202,05c225f52c0916cc63aa426c2dbfd616446b02ed104cc81617c639a7fc336141
