participant_id,label,representation,repeat,outer_fold,interviewer_logit,label_only_prediction,prediction_scope,class_mean_training_n,class_mean_training_scope,class_mean_excludes_recipient,outer_train_overall_mean_null_prediction
302,0,bge,1,5,-0.3212129695200634,-0.11524584104812766,outer_test,80,outer_training_only,True,-0.07835242643198599
303,0,bge,1,2,0.7935975826600599,-0.37407178210768555,outer_test,79,outer_training_only,True,-0.20144512223487462
304,0,bge,1,2,-0.5812431021812425,-0.37407178210768555,outer_test,79,outer_training_only,True,-0.20144512223487462
305,0,bge,1,3,0.40148738269882345,-0.16999739592245292,outer_test,79,outer_training_only,True,-0.0736243900216562
307,0,bge,1,3,-0.8866218117344782,-0.16999739592245292,outer_test,79,outer_training_only,True,-0.0736243900216562
310,0,bge,1,2,0.1663518850980643,-0.37407178210768555,outer_test,79,outer_training_only,True,-0.20144512223487462
312,0,bge,1,2,0.03365948943995223,-0.37407178210768555,outer_test,79,outer_training_only,True,-0.20144512223487462
313,0,bge,1,3,0.8689317884690628,-0.16999739592245292,outer_test,79,outer_training_only,True,-0.0736243900216562
315,0,bge,1,3,-0.04909789525670183,-0.16999739592245292,outer_test,79,outer_training_only,True,-0.0736243900216562
316,0,bge,1,2,-0.06468868230427183,-0.37407178210768555,outer_test,79,outer_training_only,True,-0.20144512223487462
317,0,bge,1,3,0.06858438656312704,-0.16999739592245292,outer_test,79,outer_training_only,True,-0.0736243900216562
318,0,bge,1,4,-0.6385669300422543,-0.2363359668711577,outer_test,79,outer_training_only,True,-0.14337277088926217
319,1,bge,1,1,1.4005660629107257,0.08721248007211738,outer_test,34,outer_training_only,True,-0.12634962280713186
320,1,bge,1,3,1.254591473333595,0.1439032518687135,outer_test,35,outer_training_only,True,-0.0736243900216562
321,1,bge,1,5,0.24192438691292728,0.008455607958935551,outer_test,34,outer_training_only,True,-0.07835242643198599
322,0,bge,1,4,-0.3115112983662054,-0.2363359668711577,outer_test,79,outer_training_only,True,-0.14337277088926217
324,0,bge,1,2,0.7943392956977684,-0.37407178210768555,outer_test,79,outer_training_only,True,-0.20144512223487462
325,1,bge,1,5,0.05305515646328507,0.008455607958935551,outer_test,34,outer_training_only,True,-0.07835242643198599
326,0,bge,1,4,-0.33140397566632185,-0.2363359668711577,outer_test,79,outer_training_only,True,-0.14337277088926217
327,0,bge,1,4,0.33399336879739927,-0.2363359668711577,outer_test,79,outer_training_only,True,-0.14337277088926217
328,0,bge,1,2,-0.2856740911085591,-0.37407178210768555,outer_test,79,outer_training_only,True,-0.20144512223487462
330,1,bge,1,5,0.7134415738019846,0.008455607958935551,outer_test,34,outer_training_only,True,-0.07835242643198599
331,0,bge,1,1,0.6076365515158224,-0.218262426577948,outer_test,79,outer_training_only,True,-0.12634962280713186
333,0,bge,1,5,-0.007956930739954071,-0.11524584104812766,outer_test,80,outer_training_only,True,-0.07835242643198599
335,1,bge,1,4,-0.24081587602749388,0.06645844289844506,outer_test,35,outer_training_only,True,-0.14337277088926217
336,0,bge,1,5,-0.45485429758044904,-0.11524584104812766,outer_test,80,outer_training_only,True,-0.07835242643198599
338,1,bge,1,3,0.2982105703415161,0.1439032518687135,outer_test,35,outer_training_only,True,-0.0736243900216562
339,1,bge,1,2,0.8840097877751916,0.19965799923430375,outer_test,34,outer_training_only,True,-0.20144512223487462
340,0,bge,1,5,0.06785142342959061,-0.11524584104812766,outer_test,80,outer_training_only,True,-0.07835242643198599
341,0,bge,1,5,0.308517007421897,-0.11524584104812766,outer_test,80,outer_training_only,True,-0.07835242643198599
343,0,bge,1,4,0.28456522329372236,-0.2363359668711577,outer_test,79,outer_training_only,True,-0.14337277088926217
344,1,bge,1,3,0.19137957652639814,0.1439032518687135,outer_test,35,outer_training_only,True,-0.0736243900216562
345,1,bge,1,1,0.8308147755425701,0.08721248007211738,outer_test,34,outer_training_only,True,-0.12634962280713186
346,1,bge,1,1,0.11455757524782006,0.08721248007211738,outer_test,34,outer_training_only,True,-0.12634962280713186
347,1,bge,1,4,0.6958702500424219,0.06645844289844506,outer_test,35,outer_training_only,True,-0.14337277088926217
348,1,bge,1,5,0.2821842081618846,0.008455607958935551,outer_test,34,outer_training_only,True,-0.07835242643198599
350,1,bge,1,5,1.3275436580742794,0.008455607958935551,outer_test,34,outer_training_only,True,-0.07835242643198599
351,1,bge,1,4,1.0099382989176422,0.06645844289844506,outer_test,35,outer_training_only,True,-0.14337277088926217
352,1,bge,1,3,-0.2937890930088298,0.1439032518687135,outer_test,35,outer_training_only,True,-0.0736243900216562
353,1,bge,1,2,0.3608382908889878,0.19965799923430375,outer_test,34,outer_training_only,True,-0.20144512223487462
355,1,bge,1,2,0.6473928705373204,0.19965799923430375,outer_test,34,outer_training_only,True,-0.20144512223487462
356,1,bge,1,3,0.6936763151749785,0.1439032518687135,outer_test,35,outer_training_only,True,-0.0736243900216562
357,0,bge,1,1,0.24078360138743893,-0.218262426577948,outer_test,79,outer_training_only,True,-0.12634962280713186
358,0,bge,1,1,0.5356776402763026,-0.218262426577948,outer_test,79,outer_training_only,True,-0.12634962280713186
360,0,bge,1,5,0.06879570285644143,-0.11524584104812766,outer_test,80,outer_training_only,True,-0.07835242643198599
362,1,bge,1,1,0.7730664289412641,0.08721248007211738,outer_test,34,outer_training_only,True,-0.12634962280713186
363,0,bge,1,1,-0.6560505748653506,-0.218262426577948,outer_test,79,outer_training_only,True,-0.12634962280713186
364,0,bge,1,1,0.12710621713550152,-0.218262426577948,outer_test,79,outer_training_only,True,-0.12634962280713186
366,0,bge,1,2,-0.5962090951176521,-0.37407178210768555,outer_test,79,outer_training_only,True,-0.20144512223487462
367,1,bge,1,3,1.7458842447494236,0.1439032518687135,outer_test,35,outer_training_only,True,-0.0736243900216562
368,0,bge,1,5,-0.164602561130343,-0.11524584104812766,outer_test,80,outer_training_only,True,-0.07835242643198599
369,0,bge,1,1,-0.37158086616135466,-0.218262426577948,outer_test,79,outer_training_only,True,-0.12634962280713186
370,0,bge,1,5,-0.4906305744366162,-0.11524584104812766,outer_test,80,outer_training_only,True,-0.07835242643198599
371,0,bge,1,3,-0.28830856704223873,-0.16999739592245292,outer_test,79,outer_training_only,True,-0.0736243900216562
372,1,bge,1,1,0.38010605625103966,0.08721248007211738,outer_test,34,outer_training_only,True,-0.12634962280713186
