representation,repeat,outer_fold,draw,partition,recipient_index,donor_index,recipient_id,donor_id,self_match
tfidf,1,1,1,test,12,47,319,364,False
tfidf,1,1,1,test,22,46,331,363,False
tfidf,1,1,1,test,32,133,345,484,False
tfidf,1,1,1,test,33,139,346,490,False
tfidf,1,1,1,test,42,93,357,426,False
tfidf,1,1,1,test,43,51,358,369,False
tfidf,1,1,1,test,45,12,362,319,False
tfidf,1,1,1,test,46,89,363,420,False
tfidf,1,1,1,test,47,22,364,331,False
tfidf,1,1,1,test,51,54,369,372,False
tfidf,1,1,1,test,54,33,372,346,False
tfidf,1,1,1,test,69,127,391,476,False
tfidf,1,1,1,test,74,136,400,487,False
tfidf,1,1,1,test,76,112,402,451,False
tfidf,1,1,1,test,77,76,403,402,False
tfidf,1,1,1,test,78,42,404,357,False
tfidf,1,1,1,test,82,69,413,391,False
tfidf,1,1,1,test,85,32,416,345,False
tfidf,1,1,1,test,89,85,420,416,False
tfidf,1,1,1,test,91,98,423,433,False
tfidf,1,1,1,test,93,45,426,362,False
tfidf,1,1,1,test,98,74,433,400,False
tfidf,1,1,1,test,112,113,451,454,False
tfidf,1,1,1,test,113,124,454,473,False
tfidf,1,1,1,test,124,82,473,413,False
tfidf,1,1,1,test,127,77,476,403,False
tfidf,1,1,1,test,133,43,484,358,False
tfidf,1,1,1,test,136,78,487,404,False
tfidf,1,1,1,test,139,91,490,423,False
tfidf,1,1,1,train,0,86,302,417,False
tfidf,1,1,1,train,1,97,303,430,False
tfidf,1,1,1,train,2,87,304,418,False
tfidf,1,1,1,train,3,40,305,355,False
tfidf,1,1,1,train,4,24,307,335,False
tfidf,1,1,1,train,5,106,310,444,False
tfidf,1,1,1,train,6,36,312,350,False
tfidf,1,1,1,train,7,10,313,317,False
tfidf,1,1,1,train,8,25,315,336,False
tfidf,1,1,1,train,9,103,316,440,False
tfidf,1,1,1,train,10,131,317,482,False
tfidf,1,1,1,train,11,20,318,328,False
tfidf,1,1,1,train,13,79,320,406,False
tfidf,1,1,1,train,14,84,321,415,False
tfidf,1,1,1,train,15,62,322,382,False
tfidf,1,1,1,train,16,17,324,325,False
tfidf,1,1,1,train,17,11,325,318,False
tfidf,1,1,1,train,18,94,326,427,False
tfidf,1,1,1,train,19,105,327,443,False
tfidf,1,1,1,train,20,114,328,455,False
tfidf,1,1,1,train,21,59,330,379,False
tfidf,1,1,1,train,23,132,333,483,False
tfidf,1,1,1,train,24,118,335,459,False
tfidf,1,1,1,train,25,4,336,307,False
tfidf,1,1,1,train,26,50,338,368,False
tfidf,1,1,1,train,27,72,339,395,False
tfidf,1,1,1,train,28,41,340,356,False
tfidf,1,1,1,train,29,61,341,381,False
tfidf,1,1,1,train,30,21,343,330,False
tfidf,1,1,1,train,31,104,344,441,False
tfidf,1,1,1,train,34,81,347,412,False
tfidf,1,1,1,train,35,27,348,339,False
tfidf,1,1,1,train,36,63,350,383,False
tfidf,1,1,1,train,37,30,351,343,False
tfidf,1,1,1,train,38,9,352,316,False
tfidf,1,1,1,train,39,100,353,436,False
tfidf,1,1,1,train,40,117,355,458,False
tfidf,1,1,1,train,41,13,356,320,False
tfidf,1,1,1,train,44,31,360,344,False
tfidf,1,1,1,train,48,102,366,439,False
tfidf,1,1,1,train,49,6,367,312,False
tfidf,1,1,1,train,50,52,368,370,False
tfidf,1,1,1,train,52,130,370,479,False
tfidf,1,1,1,train,53,38,371,352,False
tfidf,1,1,1,train,55,71,374,393,False
tfidf,1,1,1,train,56,75,375,401,False
tfidf,1,1,1,train,57,108,376,446,False
tfidf,1,1,1,train,58,39,377,353,False
tfidf,1,1,1,train,59,44,379,360,False
tfidf,1,1,1,train,60,18,380,326,False
tfidf,1,1,1,train,61,140,381,491,False
tfidf,1,1,1,train,62,116,382,457,False
tfidf,1,1,1,train,63,65,383,386,False
tfidf,1,1,1,train,64,70,385,392,False
tfidf,1,1,1,train,65,141,386,492,False
tfidf,1,1,1,train,66,14,388,321,False
tfidf,1,1,1,train,67,16,389,324,False
tfidf,1,1,1,train,68,138,390,489,False
tfidf,1,1,1,train,70,88,392,419,False
tfidf,1,1,1,train,71,29,393,341,False
tfidf,1,1,1,train,72,95,395,428,False
tfidf,1,1,1,train,73,37,397,351,False
tfidf,1,1,1,train,75,57,401,376,False
tfidf,1,1,1,train,79,111,406,449,False
tfidf,1,1,1,train,80,7,409,313,False
tfidf,1,1,1,train,81,123,412,472,False
tfidf,1,1,1,train,83,5,414,310,False
tfidf,1,1,1,train,84,56,415,375,False
tfidf,1,1,1,train,86,19,417,327,False
tfidf,1,1,1,train,87,34,418,347,False
tfidf,1,1,1,train,88,66,419,388,False
tfidf,1,1,1,train,90,3,422,305,False
tfidf,1,1,1,train,92,80,425,409,False
tfidf,1,1,1,train,94,23,427,333,False
tfidf,1,1,1,train,95,110,428,448,False
tfidf,1,1,1,train,96,0,429,302,False
tfidf,1,1,1,train,97,119,430,463,False
tfidf,1,1,1,train,99,58,434,377,False
tfidf,1,1,1,train,100,115,436,456,False
tfidf,1,1,1,train,101,137,437,488,False
tfidf,1,1,1,train,102,134,439,485,False
tfidf,1,1,1,train,103,2,440,304,False
tfidf,1,1,1,train,104,101,441,437,False
tfidf,1,1,1,train,105,129,443,478,False
tfidf,1,1,1,train,106,122,444,471,False
tfidf,1,1,1,train,107,55,445,374,False
tfidf,1,1,1,train,108,126,446,475,False
tfidf,1,1,1,train,109,68,447,390,False
tfidf,1,1,1,train,110,48,448,366,False
tfidf,1,1,1,train,111,26,449,338,False
tfidf,1,1,1,train,114,35,455,348,False
tfidf,1,1,1,train,115,125,456,474,False
tfidf,1,1,1,train,116,128,457,477,False
tfidf,1,1,1,train,117,92,458,425,False
tfidf,1,1,1,train,118,1,459,303,False
tfidf,1,1,1,train,119,64,463,385,False
tfidf,1,1,1,train,120,109,464,447,False
tfidf,1,1,1,train,121,67,468,389,False
tfidf,1,1,1,train,122,99,471,434,False
tfidf,1,1,1,train,123,83,472,414,False
tfidf,1,1,1,train,125,28,474,340,False
tfidf,1,1,1,train,126,60,475,380,False
tfidf,1,1,1,train,128,96,477,429,False
tfidf,1,1,1,train,129,121,478,468,False
tfidf,1,1,1,train,130,53,479,371,False
tfidf,1,1,1,train,131,120,482,464,False
tfidf,1,1,1,train,132,8,483,315,False
tfidf,1,1,1,train,134,135,485,486,False
tfidf,1,1,1,train,135,107,486,445,False
tfidf,1,1,1,train,137,15,488,322,False
tfidf,1,1,1,train,138,73,489,397,False
tfidf,1,1,1,train,140,90,491,422,False
tfidf,1,1,1,train,141,49,492,367,False
tfidf,1,2,1,test,1,39,303,353,False
tfidf,1,2,1,test,2,27,304,339,False
tfidf,1,2,1,test,5,130,310,479,False
tfidf,1,2,1,test,6,135,312,486,False
tfidf,1,2,1,test,9,81,316,412,False
tfidf,1,2,1,test,16,40,324,355,False
tfidf,1,2,1,test,20,1,328,303,False
tfidf,1,2,1,test,27,70,339,392,False
tfidf,1,2,1,test,39,2,353,304,False
tfidf,1,2,1,test,40,48,355,366,False
tfidf,1,2,1,test,48,6,366,312,False
tfidf,1,2,1,test,56,116,375,457,False
tfidf,1,2,1,test,57,131,376,482,False
tfidf,1,2,1,test,59,94,379,427,False
tfidf,1,2,1,test,61,59,381,379,False
tfidf,1,2,1,test,62,9,382,316,False
tfidf,1,2,1,test,65,56,386,375,False
tfidf,1,2,1,test,68,5,390,310,False
tfidf,1,2,1,test,70,68,392,390,False
tfidf,1,2,1,test,75,90,401,422,False
tfidf,1,2,1,test,81,20,412,328,False
tfidf,1,2,1,test,90,57,422,376,False
tfidf,1,2,1,test,94,103,427,440,False
tfidf,1,2,1,test,103,105,440,443,False
tfidf,1,2,1,test,105,65,443,386,False
tfidf,1,2,1,test,116,61,457,381,False
tfidf,1,2,1,test,130,16,479,324,False
tfidf,1,2,1,test,131,62,482,382,False
tfidf,1,2,1,test,135,75,486,401,False
tfidf,1,2,1,train,0,89,302,420,False
tfidf,1,2,1,train,3,99,305,434,False
tfidf,1,2,1,train,4,91,307,423,False
tfidf,1,2,1,train,7,46,313,363,False
tfidf,1,2,1,train,8,30,315,343,False
tfidf,1,2,1,train,10,109,317,447,False
tfidf,1,2,1,train,11,42,318,357,False
tfidf,1,2,1,train,12,15,319,322,False
tfidf,1,2,1,train,13,31,320,344,False
tfidf,1,2,1,train,14,106,321,444,False
tfidf,1,2,1,train,15,133,322,484,False
tfidf,1,2,1,train,17,26,325,338,False
tfidf,1,2,1,train,18,84,326,415,False
tfidf,1,2,1,train,19,88,327,419,False
tfidf,1,2,1,train,21,69,330,391,False
tfidf,1,2,1,train,22,23,331,333,False
tfidf,1,2,1,train,23,17,333,325,False
tfidf,1,2,1,train,24,96,335,429,False
tfidf,1,2,1,train,25,108,336,446,False
tfidf,1,2,1,train,26,115,338,456,False
tfidf,1,2,1,train,28,64,340,385,False
tfidf,1,2,1,train,29,134,341,485,False
tfidf,1,2,1,train,30,120,343,464,False
tfidf,1,2,1,train,31,8,344,315,False
tfidf,1,2,1,train,32,52,345,370,False
tfidf,1,2,1,train,33,80,346,409,False
tfidf,1,2,1,train,34,47,347,364,False
tfidf,1,2,1,train,35,67,348,389,False
tfidf,1,2,1,train,36,28,350,340,False
tfidf,1,2,1,train,37,107,351,445,False
tfidf,1,2,1,train,38,86,352,417,False
tfidf,1,2,1,train,41,33,356,346,False
tfidf,1,2,1,train,42,71,357,393,False
tfidf,1,2,1,train,43,36,358,350,False
tfidf,1,2,1,train,44,14,360,321,False
tfidf,1,2,1,train,45,101,362,437,False
